#SampleID	Soil	Replica	Sample	sampling_time
Explo201	FH05_G	1	1	04_23
Explo202	FH05_G	2	1	04_23
Explo203	FH05_G	3	1	04_23
Explo204	FH05_G	4	1	04_23
Explo205	FH05_G	5	1	04_23
Explo206	FH05_E	1	2	04_23
Explo207	FH05_E	2	2	04_23
Explo208	FH05_E	3	2	04_23
Explo209	FH05_E	4	2	04_23
Explo210	FH05_E	5	2	04_23
Explo211	FH05_S	1	3	04_23
Explo212	FH05_S	2	3	04_23
Explo213	FH05_S	3	3	04_23
Explo214	FH05_S	4	3	04_23
Explo215	FH05_S	5	3	04_23
Explo216	FH06_G	1	4	04_23
Explo217	FH06_G	2	4	04_23
Explo218	FH06_G	3	4	04_23
Explo219	FH06_G	4	4	04_23
Explo220	FH06_G	5	4	04_23
Explo221	FH06_E	1	5	04_23
Explo222	FH06_E	2	5	04_23
Explo223	FH06_E	3	5	04_23
Explo224	FH06_E	4	5	04_23
Explo225	FH06_E	5	5	04_23
Explo226	FH06_S	1	6	04_23
Explo227	FH06_S	2	6	04_23
Explo228	FH06_S	3	6	04_23
Explo229	FH06_S	4	6	04_23
Explo230	FH06_S	5	6	04_23
Explo231	FH32_G	1	7	04_23
Explo232	FH32_G	2	7	04_23
Explo233	FH32_G	3	7	04_23
Explo234	FH32_G	4	7	04_23
Explo235	FH32_G	5	7	04_23
Explo236	FH32_E	1	8	04_23
Explo237	FH32_E	2	8	04_23
Explo238	FH32_E	3	8	04_23
Explo239	FH32_E	4	8	04_23
Explo240	FH32_E	5	8	04_23
Explo241	FH32_S	1	9	04_23
Explo242	FH32_S	2	9	04_23
Explo243	FH32_S	3	9	04_23
Explo244	FH32_S	4	9	04_23
Explo245	FH32_S	5	9	04_23
Explo246	FS35_G	1	10	04_23
Explo247	FS35_G	2	10	04_23
Explo248	FS35_G	3	10	04_23
Explo249	FS35_G	4	10	04_23
Explo250	FS35_G	5	10	04_23
Explo251	FS35_E	1	11	04_23
Explo252	FS35_E	2	11	04_23
Explo253	FS35_E	3	11	04_23
Explo254	FS35_E	4	11	04_23
Explo255	FS35_E	5	11	04_23
Explo256	FS35_S	1	12	04_23
Explo257	FS35_S	2	12	04_23
Explo258	FS35_S	3	12	04_23
Explo259	FS35_S	4	12	04_23
Explo260	FS35_S	5	12	04_23
Explo261	FS36_G	1	13	04_23
Explo262	FS36_G	2	13	04_23
Explo263	FS36_G	3	13	04_23
Explo264	FS36_G	4	13	04_23
Explo265	FS36_G	5	13	04_23
Explo266	FS36_E	1	14	04_23
Explo267	FS36_E	2	14	04_23
Explo268	FS36_E	3	14	04_23
Explo269	FS36_E	4	14	04_23
Explo270	FS36_E	5	14	04_23
Explo271	FS36_S	1	15	04_23
Explo272	FS36_S	2	15	04_23
Explo273	FS36_S	3	15	04_23
Explo274	FS36_S	4	15	04_23
Explo275	FS36_S	5	15	04_23
Explo276	FS49_G	1	16	04_23
Explo277	FS49_G	2	16	04_23
Explo278	FS49_G	3	16	04_23
Explo279	FS49_G	4	16	04_23
Explo280	FS49_G	5	16	04_23
Explo281	FS49_E	1	17	04_23
Explo282	FS49_E	2	17	04_23
Explo283	FS49_E	3	17	04_23
Explo284	FS49_E	4	17	04_23
Explo285	FS49_E	5	17	04_23
Explo286	FS49_S	1	18	04_23
Explo287	FS49_S	2	18	04_23
Explo288	FS49_S	3	18	04_23
Explo289	FS49_S	4	18	04_23
Explo290	FS49_S	5	18	04_23
Explo291	FA22_G	1	19	04_23
Explo292	FA22_G	2	19	04_23
Explo293	FA22_G	3	19	04_23
Explo294	FA22_G	4	19	04_23
Explo295	FA22_G	5	19	04_23
Explo296	FA22_E	1	20	04_23
Explo297	FA22_E	2	20	04_23
Explo298	FA22_E	3	20	04_23
Explo299	FA22_E	4	20	04_23
Explo300	FA22_E	5	20	04_23
Explo301	FA22_S	1	21	04_23
Explo302	FA22_S	2	21	04_23
Explo303	FA22_S	3	21	04_23
Explo304	FA22_S	4	21	04_23
Explo305	FA22_S	5	21	04_23
Explo306	FA39_G	1	22	04_23
Explo307	FA39_G	2	22	04_23
Explo308	FA39_G	3	22	04_23
Explo309	FA39_G	4	22	04_23
Explo310	FA39_G	5	22	04_23
Explo311	FA39_E	1	23	04_23
Explo312	FA39_E	2	23	04_23
Explo313	FA39_E	3	23	04_23
Explo314	FA39_E	4	23	04_23
Explo315	FA39_E	5	23	04_23
Explo316	FA39_S	1	24	04_23
Explo317	FA39_S	2	24	04_23
Explo318	FA39_S	3	24	04_23
Explo319	FA39_S	4	24	04_23
Explo320	FA39_S	5	24	04_23
Explo321	FA42_G	1	25	04_23
Explo322	FA42_G	2	25	04_23
Explo323	FA42_G	3	25	04_23
Explo324	FA42_G	4	25	04_23
Explo325	FA42_G	5	25	04_23
Explo326	FA42_E	1	26	04_23
Explo327	FA42_E	2	26	04_23
Explo328	FA42_E	3	26	04_23
Explo329	FA42_E	4	26	04_23
Explo330	FA42_E	5	27	04_23
Explo331	FA42_S	1	27	04_23
Explo332	FA42_S	2	27	04_23
Explo333	FA42_S	3	27	04_23
Explo334	FA42_S	4	27	04_23
Explo335	FA42_S	5	27	04_23
ExploBlank	blank	1	blank	04_23
ExploPCRneg1	PCR_neg	1	PCR_neg	04_23
ExploPCRneg2	PCR_neg	2	PCR_neg	04_23
ExploPCRneg3	PCR_neg	3	PCR_neg	04_23
Steffi-Blank	blank	1	blank	04_22
Steffi-RH-001	FH05_G	1	1	04_22
Steffi-RH-002	FH05_G	2	1	04_22
Steffi-RH-003	FH05_G	3	1	04_22
Steffi-RH-004	FH05_G	4	1	04_22
Steffi-RH-005	FH05_G	5	1	04_22
Steffi-RH-006	FH05_E	1	2	04_22
Steffi-RH-007	FH05_E	2	2	04_22
Steffi-RH-008	FH05_E	3	2	04_22
Steffi-RH-009	FH05_E	4	2	04_22
Steffi-RH-010	FH05_E	5	2	04_22
Steffi-RH-011	FH05_S	1	3	04_22
Steffi-RH-012	FH05_S	2	3	04_22
Steffi-RH-013	FH05_S	3	3	04_22
Steffi-RH-014	FH05_S	4	3	04_22
Steffi-RH-015	FH05_S	5	3	04_22
Steffi-RH-016	FH06_G	1	4	04_22
Steffi-RH-017	FH06_G	2	4	04_22
Steffi-RH-018	FH06_G	3	4	04_22
Steffi-RH-019	FH06_G	4	4	04_22
Steffi-RH-020	FH06_G	5	4	04_22
Steffi-RH-021	FH06_E	1	5	04_22
Steffi-RH-022	FH06_E	2	5	04_22
Steffi-RH-023	FH06_E	3	5	04_22
Steffi-RH-024	FH06_E	4	5	04_22
Steffi-RH-025	FH06_E	5	5	04_22
Steffi-RH-026	FH06_S	1	6	04_22
Steffi-RH-027	FH06_S	2	6	04_22
Steffi-RH-028	FH06_S	3	6	04_22
Steffi-RH-029	FH06_S	4	6	04_22
Steffi-RH-030	FH06_S	5	6	04_22
Steffi-RH-031	FH32_G	1	7	04_22
Steffi-RH-032	FH32_G	2	7	04_22
Steffi-RH-033	FH32_G	3	7	04_22
Steffi-RH-034	FH32_G	4	7	04_22
Steffi-RH-035	FH32_G	5	7	04_22
Steffi-RH-036	FH32_E	1	8	04_22
Steffi-RH-037	FH32_E	2	8	04_22
Steffi-RH-038	FH32_E	3	8	04_22
Steffi-RH-039	FH32_E	4	8	04_22
Steffi-RH-040	FH32_E	5	8	04_22
Steffi-RH-041	FH32_S	1	9	04_22
Steffi-RH-042	FH32_S	2	9	04_22
Steffi-RH-043	FH32_S	3	9	04_22
Steffi-RH-044	FH32_S	4	9	04_22
Steffi-RH-045	FH32_S	5	9	04_22
Steffi-RH-046	FS35_G	1	10	04_22
Steffi-RH-047	FS35_G	2	10	04_22
Steffi-RH-048	FS35_G	3	10	04_22
Steffi-RH-049	FS35_G	4	10	04_22
Steffi-RH-050	FS35_G	5	10	04_22
Steffi-RH-051	FS35_E	1	11	04_22
Steffi-RH-052	FS35_E	2	11	04_22
Steffi-RH-053	FS35_E	3	11	04_22
Steffi-RH-054	FS35_E	4	11	04_22
Steffi-RH-055	FS35_E	5	11	04_22
Steffi-RH-056	FS35_S	1	12	04_22
Steffi-RH-057	FS35_S	2	12	04_22
Steffi-RH-058	FS35_S	3	12	04_22
Steffi-RH-059	FS35_S	4	12	04_22
Steffi-RH-060	FS35_S	5	12	04_22
Steffi-RH-061	FS36_G	1	13	04_22
Steffi-RH-062	FS36_G	2	13	04_22
Steffi-RH-063	FS36_G	3	13	04_22
Steffi-RH-064	FS36_G	4	13	04_22
Steffi-RH-065	FS36_G	5	13	04_22
Steffi-RH-066	FS36_E	1	14	04_22
Steffi-RH-067	FS36_E	2	14	04_22
Steffi-RH-068	FS36_E	3	14	04_22
Steffi-RH-069	FS36_E	4	14	04_22
Steffi-RH-070	FS36_E	5	14	04_22
Steffi-RH-071	FS36_S	1	15	04_22
Steffi-RH-072	FS36_S	2	15	04_22
Steffi-RH-073	FS36_S	3	15	04_22
Steffi-RH-074	FS36_S	4	15	04_22
Steffi-RH-075	FS36_S	5	15	04_22
Steffi-RH-076	FS49_G	1	16	04_22
Steffi-RH-077	FS49_G	2	16	04_22
Steffi-RH-078	FS49_G	3	16	04_22
Steffi-RH-079	FS49_G	4	16	04_22
Steffi-RH-080	FS49_G	5	16	04_22
Steffi-RH-081	FS49_E	1	17	04_22
Steffi-RH-082	FS49_E	2	17	04_22
Steffi-RH-083	FS49_E	3	17	04_22
Steffi-RH-084	FS49_E	4	17	04_22
Steffi-RH-085	FS49_E	5	17	04_22
Steffi-RH-086	FS49_S	1	18	04_22
Steffi-RH-087	FS49_S	2	18	04_22
Steffi-RH-088	FS49_S	3	18	04_22
Steffi-RH-089	FS49_S	4	18	04_22
Steffi-RH-090	FS49_S	5	18	04_22
Steffi-RH-091	FA22_G	1	19	04_22
Steffi-RH-092	FA22_G	2	19	04_22
Steffi-RH-093	FA22_G	3	19	04_22
Steffi-RH-094	FA22_G	4	19	04_22
Steffi-RH-095	FA22_G	5	19	04_22
Steffi-RH-096	FA22_E	1	20	04_22
Steffi-RH-097	FA22_E	2	20	04_22
Steffi-RH-098	FA22_E	3	20	04_22
Steffi-RH-099	FA22_E	4	20	04_22
Steffi-RH-100	FA22_E	5	20	04_22
Steffi-RH-101	FA22_S	1	21	04_22
Steffi-RH-102	FA22_S	2	21	04_22
Steffi-RH-103	FA22_S	3	21	04_22
Steffi-RH-104	FA22_S	4	21	04_22
Steffi-RH-105	FA22_S	5	21	04_22
Steffi-RH-106	FA29_G	1	22	04_22
Steffi-RH-107	FA29_G	2	22	04_22
Steffi-RH-108	FA29_G	3	22	04_22
